_id,cat_number,name,photos.checksum,photos.path,photos.status,photos.url,price,url
6400e232d40b65854f6a76a9,AP117,Anti- HCP (AP117)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/e-coli-affinity-purified-antibody.html""]"
6400e233d40b65854f6a76aa,AF117B,Anti- HCP (AF117B)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/anti-e-coli-hcp.html""]"
6400e234d40b65854f6a76ab,F056-12,Anti-HSA:Biotinylated Conjugate (F056-12)  ,267440f8030605e994591bbfff75ba83,full/a53530802745f3c49897539d62b0f67e85448c97.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/f/0/xf056_2_edt_lm.jpg.pagespeed.ic.cZwJj_ExNy.jpg,483,"[""https://www.cygnustechnologies.com/anti-hsa-biotinylated-conjugate.html""]"
6400e235d40b65854f6a76ac,BHK1107-AF,Anti-BHK HCP (BHK1107-AF)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/bhk-affinity-purified-antibody.html""]"
6400e237d40b65854f6a76ad,F610,Protein A Mix-N-Go™ ELISA Kit for UnNatural Protein A Constructs (F610)  ,df33345a216f2dc9984d6d376cf54f13,full/1190dd033a10dd3b0dcaa5c780b88a5487d60882.jpg,uptodate,https://h8t3nr-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/f/6/xf610_2_lm_edt.jpg.pagespeed.ic.PmJ6tsHH9G.jpg,725,"[""https://www.cygnustechnologies.com/protein-a-mix-n-gotm-elisa-kit-for-unnatural-protein-a-constructs.html""]"
6400e238d40b65854f6a76ae,82SC-AF,Anti- HCP (82SC-AF)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/s-cerevisiae-affinity-purified-antibody.html""]"
6400e239d40b65854f6a76af,82SC-AFB,Anti- HCP (82SC-AFB)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/s-cerevisiae-affinity-purified-biotinylated-antibody.html""]"
6400e23ad40b65854f6a76b0,3G-0016-AF,Anti-CHO HCP (3G-0016-AF)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/cho-affinity-purified-antibody.html""]"
6400e23bd40b65854f6a76b1,3G-0016-AFB,Anti-CHO HCP (3G-0016-AFB)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/anti-cho-hcp-affinity-purified-biotinylated.html""]"
6400e23bd40b65854f6a76b2,7-04AF,Anti- HCP (7-04AF)  ,1ee88f8b6a6ef4ac43e70d9d99811569,full/16b9ce3d6b31131ee89a17a5908fea29cdc03556.jpg,uptodate,https://9w3vpx-x37ykhc4perb.cloudmaestro.com/8ScOotBsO/media/catalog/product/cache/6cc840b2b6c4582263a7b4d15fafbc87/a/b/xab-vial_3_lm_edt.jpg.pagespeed.ic.y1Uj9v3XUO.jpg,,"[""https://www.cygnustechnologies.com/p-fluorescens-affinity-purified-antibody.html""]"
